Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
PavelGrigoryevDS awesome-data-analysis,"🚀 500+ curated resources for Data Analysis & Data Science: Python, SQL, Statistics, ML, AI, Visualization, Cheatsheets, Roadmaps, Interview Prep. For beginners and experts.",[],61,523,36,0,3,0,https://github.com/PavelGrigoryevDS/awesome-data-analysis
adamlui ai-web-extensions,🤖 AI browser extensions & userscripts to augment your web experience,"['JavaScript', 'Python', 'CSS', 'Other']",54,522,16551,0,17,0,https://github.com/adamlui/ai-web-extensions
kuleshov cornell-cs5785-2025-applied-ml,Lecture materials for Cornell CS5785 Applied Machine Learning (Fall 2024),['Jupyter Notebook'],182,521,315,2,12,0,https://github.com/kuleshov/cornell-cs5785-2025-applied-ml
unjs mlly,🤝 Common ECMAScript module utils,"['TypeScript', 'JavaScript']",41,521,449,11,37,15,https://github.com/unjs/mlly
RunLLM aqueduct,Aqueduct is no longer being maintained. Aqueduct allows you to run LLM and ML workloads on any cloud infrastructure.,"['Go', 'Python', 'TypeScript', 'HCL', 'Dockerfile', 'Shell', 'Other']",20,521,1037,1,15,47,https://github.com/RunLLM/aqueduct
TryEnlight tryenlight.github.io,💻 Learn to code by building projects (old site!),"['HTML', 'CSS', 'JavaScript', 'Python']",249,517,76,2,8,0,https://github.com/TryEnlight/tryenlight.github.io
titu1994 MLSTM-FCN,Multivariate LSTM Fully Convolutional Networks for Time Series Classification,['Python'],181,516,82,0,3,2,https://github.com/titu1994/MLSTM-FCN
polyml polyml,Poly/ML,"['Standard ML', 'C++', 'Shell', 'OCaml', 'Makefile', 'C', 'Other']",53,515,4870,7,22,9,https://github.com/polyml/polyml
amitkaps recommendation,Recommendation System using ML and DL,"['Jupyter Notebook', 'Other']",164,515,62,22,4,0,https://github.com/amitkaps/recommendation
CerebriumAI examples,Examples for Cerebrium Serverless GPUs,"['Python', 'JavaScript', 'Other']",75,514,372,1,8,0,https://github.com/CerebriumAI/examples
