Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url
github CodeSearchNet,"Datasets, tools, and benchmarks for representation learning of code.","['Jupyter Notebook', 'Python', 'Other']",409,2396,286,0,52,0,https://github.com/github/CodeSearchNet
unslothai hyperlearn,"2-2000x faster ML algos, 50% less memory usage, works on all hardware - new and old.","['Jupyter Notebook', 'Python', 'Cython', 'C++', 'Makefile', 'Batchfile']",152,2345,264,1,4,0,https://github.com/unslothai/hyperlearn
ml-explore mlx-swift-examples,Examples using MLX Swift,"['Swift', 'Shell', 'Python']",345,2330,253,8,56,12,https://github.com/ml-explore/mlx-swift-examples
meltano meltano,"Meltano: the declarative code-first data integration engine that powers your wildest data and ML-powered product ideas. Say goodbye to writing, maintaining, and scaling your own API integrations.","['Python', 'Other']",189,2280,12393,12,138,92,https://github.com/meltano/meltano
plexe-ai plexe,✨ Build a machine learning model from a prompt,"['Python', 'HTML', 'Jinja', 'Jupyter Notebook']",219,2276,154,8,10,56,https://github.com/plexe-ai/plexe
salesforce TransmogrifAI,"TransmogrifAI (pronounced trăns-mŏgˈrə-fī) is an AutoML library for building modular, reusable, strongly typed machine learning workflows on Apache Spark with minimal hand-tuning","['Scala', 'Other']",400,2269,532,11,43,9,https://github.com/salesforce/TransmogrifAI
hesamsheikh ml-retreat,Machine Learning Journal for Intermediate to Advanced Topics.,"['Jupyter Notebook', 'Python']",245,2249,71,0,3,0,https://github.com/hesamsheikh/ml-retreat
gautamkrishnar nothing-private,Do you think you are safe using private browsing or incognito mode?. 😄 👿 This will prove that you're wrong. Previously hosted at nothingprivate.ml,"['JavaScript', 'HTML', 'Rich Text Format', 'CSS', 'PHP', 'Shell', 'Dockerfile']",157,2203,349,0,43,10,https://github.com/gautamkrishnar/nothing-private
microsoft Olive,"Olive: Simplify ML Model Finetuning, Conversion, Quantization, and Optimization for CPUs, GPUs and NPUs.","['Python', 'Jupyter Notebook', 'Other']",262,2202,1786,4,77,24,https://github.com/microsoft/Olive
arbox machine-learning-with-ruby,Curated list: Resources for machine learning in Ruby,['Ruby'],184,2200,193,2,19,0,https://github.com/arbox/machine-learning-with-ruby
chris-chris ml-engineer-roadmap,WIP: Roadmap to becoming a machine learning engineer in 2020,[],257,2199,19,0,2,0,https://github.com/chris-chris/ml-engineer-roadmap
b7leung MLE-Flashcards,"200+ detailed flashcards useful for reviewing topics in machine learning, computer vision, and computer science.",[],200,2192,22,2,2,0,https://github.com/b7leung/MLE-Flashcards
iver56 audiomentations,"A Python library for audio data augmentation. Useful for making audio ML models work well in the real world, not just in the lab.",['Python'],205,2186,1420,5,25,46,https://github.com/iver56/audiomentations
isl-org Open3D-ML,An extension of Open3D to address 3D Machine Learning tasks,"['Python', 'Shell']",351,2184,579,8,51,9,https://github.com/isl-org/Open3D-ML
RubixML ML,A high-level machine learning and deep learning library for the PHP language.,['PHP'],194,2178,2066,2,41,79,https://github.com/RubixML/ML
tensorflow tfx,TFX is an end-to-end platform for deploying production ML pipelines,"['Python', 'Other']",726,2170,5969,222,178,96,https://github.com/tensorflow/tfx
orico www.mlcompendium.com,"The Machine Learning & Deep Learning Compendium was a list of references in my private & single document, which I curated in order to expand my knowledge, it is now an open knowledge-sharing project compiled using Gitbook.",[],237,2166,404,0,9,0,https://github.com/orico/www.mlcompendium.com
NVIDIA physicsnemo,"Open-source deep-learning framework for building, training, and fine-tuning deep learning models using state-of-the-art Physics-ML methods","['Python', 'Other']",504,2139,706,41,87,16,https://github.com/NVIDIA/physicsnemo
zhulei227 ML_Notes,机器学习算法的公式推导以及numpy实现,"['Jupyter Notebook', 'Python', 'C++']",484,2115,64,0,2,0,https://github.com/zhulei227/ML_Notes
NannyML nannyml,nannyml: post-deployment data science in python,"['Python', 'Jupyter Notebook', 'Other']",173,2115,1276,0,32,36,https://github.com/NannyML/nannyml
timeplus-io proton,"⚡ Fastest SQL ETL pipeline in a single C++ binary, built for stream processing, observability, analytics and AI/ML","['C++', 'Python', 'Shell', 'C', 'Jinja', 'CMake', 'Other']",96,2093,84370,4,33,60,https://github.com/timeplus-io/proton
kaleko CourseraML,"I took Andrew Ng's Machine Learning course on Coursera and did the homework assigments... but, on my own in python because I love jupyter notebooks!",['Jupyter Notebook'],783,2050,35,0,0,0,https://github.com/kaleko/CourseraML
GoogleCloudPlatform ml-design-patterns,Source code accompanying O'Reilly book: Machine Learning Design Patterns,"['Jupyter Notebook', 'Other']",581,2050,147,0,4,0,https://github.com/GoogleCloudPlatform/ml-design-patterns
microsoft MLOps,MLOps examples,"['Jupyter Notebook', 'Python', 'PowerShell', 'Shell']",580,2049,321,6,29,0,https://github.com/microsoft/MLOps
